semester,crn,full_number,number,title,seats_available,seats_total,location,day_of_week,start,end
Spring%202016,25016,GEOL0070-S01,GEOL0070,Introduction to Oceanography,925,999,MacMillan Hall 115,M,50400,53400
Spring%202016,25017,GEOL0230-S01,GEOL0230,Geochemistry: Earth and Planetary Materials and Processes,988,999,Geo-Chemistry Building 039,T,46800,51600
Spring%202016,25453,GEOL1330-S01,GEOL1330,Global Environmental Remote Sensing,970,999,MacMillan Hall 101,T,46800,51600
Spring%202016,25019,GEOL0240-S01,GEOL0240,Earth: Evolution of a Habitable Planet,986,999,Lincoln Field Building 209,M,39600,42600
Spring%202016,25711,GEOL0810-S01,GEOL0810,Planetary Geology,13,80,Bio Med Center 202,M,36000,39000
Spring%202016,25020,GEOL1150-S01,GEOL1150,Limnology: The Study of Lakes,11,20,Geo-Chemistry Building 039,M,39600,42600
Spring%202016,25131,GEOL1450-S01,GEOL1450,Structural Geology,987,999,Geo-Chemistry Building 039,T,37800,42600
Spring%202016,25549,GEOL1620-S01,GEOL1620,Continuum Physics of the Solid Earth,989,999,Geo-Chemistry Building 150,T,52200,57000
Spring%202016,25021,GEOL1350-S01,GEOL1350,Weather and Climate,-3,30,MacMillan Hall 101,T,52200,57000
Spring%202016,25132,GEOL1510-S01,GEOL1510,Introduction to Atmospheric Dynamics,20,30,Geo-Chemistry Building 039,M,36000,39000
Spring%202016,26369,GEOL1380-S01,GEOL1380,Environmental Stable Isotopes,984,999,Geo-Chemistry Building 150,T,32400,37200
Spring%202016,25579,GEOL1610-S01,GEOL1610,Solid Earth Geophysics,993,999,Geo-Chemistry Building 029,T,46800,51600
Spring%202016,25819,GEOL1660-S01,GEOL1660,Instrumental Analysis with Environmental Applications,18,20,MacMillan Hall 101,T,37800,42600
Spring%202016,25135,GEOL2650-S01,GEOL2650,Advanced Seismology,996,999, ,T,37800,42600
Spring%202016,25134,GEOL2350-S01,GEOL2350,Quaternary Climatology Seminar,29,40,Geo-Chemistry Building 029,W,54000,63000
Spring%202016,26250,GEOL2730-S01,GEOL2730,Isotope Geochemistry,996,999,Geo-Chemistry Building 150,T,46800,51600
