date,temperature,wind speed,rain,snow
"12:25 AM EDT on April 21, 2015",11.1,25.9,1,0
"12:51 AM EDT on April 21, 2015",11.1,24.1,0,0
"1:51 AM EDT on April 21, 2015",10.6,18.5,0,0
"2:51 AM EDT on April 21, 2015",11.1,11.1,0,0
"3:11 AM EDT on April 21, 2015",11.1,14.8,0,0
"3:51 AM EDT on April 21, 2015",10.0,16.7,1,0
"3:53 AM EDT on April 21, 2015",10.0,9.3,0,0
"4:06 AM EDT on April 21, 2015",10.0,0.0,1,0
"4:14 AM EDT on April 21, 2015",10.6,0.0,0,0
"4:23 AM EDT on April 21, 2015",11.1,9.3,1,0
"4:32 AM EDT on April 21, 2015",11.7,0.0,1,0
"4:40 AM EDT on April 21, 2015",11.7,9.3,1,0
"4:45 AM EDT on April 21, 2015",11.0,7.4,1,0
"4:51 AM EDT on April 21, 2015",11.1,5.6,0,0
"4:58 AM EDT on April 21, 2015",11.1,9.3,0,0
"5:16 AM EDT on April 21, 2015",11.7,0.0,0,0
"5:51 AM EDT on April 21, 2015",13.3,16.7,0,0
"5:58 AM EDT on April 21, 2015",13.3,16.7,0,0
"6:48 AM EDT on April 21, 2015",13.0,14.8,0,0
"6:51 AM EDT on April 21, 2015",13.3,14.8,0,0
"7:48 AM EDT on April 21, 2015",12.0,11.1,0,0
