date,temperature,wind speed,rain,snow
1:26 PM May 09 2015,20.0,20.4,0,0
1:51 PM May 09 2015,19.4,25.9,0,0
2:51 PM May 09 2015,19.4,29.6,0,0
3:51 PM May 09 2015,18.9,24.1,0,0
4:51 PM May 09 2015,17.2,25.9,0,0
5:51 PM May 09 2015,16.1,25.9,0,0
6:51 PM May 09 2015,14.4,16.7,0,0
7:05 PM May 09 2015,14.4,14.8,0,0
7:33 PM May 09 2015,14.4,11.1,0,0
7:51 PM May 09 2015,13.9,16.7,0,0
8:51 AM May 10 2015,20.6,24.1,0,0
9:51 AM May 10 2015,21.7,27.8,0,0
10:51 AM May 10 2015,22.8,22.2,0,0
11:51 AM May 10 2015,25.0,18.5,0,0
12:51 PM May 10 2015,28.3,35.2,0,0
1:51 PM May 10 2015,29.4,25.9,0,0
2:51 PM May 10 2015,30.0,31.5,0,0
3:51 PM May 10 2015,28.9,29.6,0,0
4:51 PM May 10 2015,27.8,24.1,0,0
5:51 PM May 10 2015,26.1,24.1,0,0
6:51 PM May 10 2015,25.0,22.2,0,0
7:51 PM May 10 2015,23.9,14.8,0,0
8:51 AM May 11 2015,25.0,18.5,0,0
9:51 AM May 11 2015,26.1,22.2,0,0
10:51 AM May 11 2015,27.2,25.9,0,0
11:51 AM May 11 2015,28.3,22.2,0,0
12:51 PM May 11 2015,28.9,27.8,0,0
1:51 PM May 11 2015,28.9,29.6,0,0
2:51 PM May 11 2015,28.9,27.8,0,0
3:51 PM May 11 2015,29.4,25.9,0,0
4:51 PM May 11 2015,27.2,27.8,0,0
5:51 PM May 11 2015,26.7,29.6,0,0
6:51 PM May 11 2015,25.0,27.8,0,0
7:51 PM May 11 2015,23.3,20.4,0,0
8:51 AM May 12 2015,15.6,5.6,0,0
9:20 AM May 12 2015,16.7,5.6,0,0
9:51 AM May 12 2015,18.3,11.1,0,0
10:44 AM May 12 2015,21.1,5.6,0,0
10:51 AM May 12 2015,21.1,5.6,0,0
11:51 AM May 12 2015,23.3,16.7,0,0
12:51 PM May 12 2015,28.9,13.0,0,0
1:51 PM May 12 2015,29.4,25.9,0,0
2:51 PM May 12 2015,28.3,25.9,0,0
3:51 PM May 12 2015,28.3,31.5,0,0
4:51 PM May 12 2015,26.7,25.9,0,0
5:51 PM May 12 2015,26.1,25.9,0,0
6:51 PM May 12 2015,25.6,25.9,0,0
7:51 PM May 12 2015,24.4,16.7,0,0
8:51 AM May 13 2015,17.2,22.2,0,0
9:51 AM May 13 2015,17.8,24.1,0,0
10:51 AM May 13 2015,18.9,27.8,0,0
12:51 PM May 13 2015,20.6,31.5,0,0
1:51 PM May 13 2015,20.6,22.2,0,0
2:51 PM May 13 2015,18.9,25.9,0,0
3:51 PM May 13 2015,18.3,22.2,0,0
4:51 PM May 13 2015,18.3,22.2,0,0
5:51 PM May 13 2015,18.3,22.2,0,0
6:51 PM May 13 2015,17.8,16.7,0,0
7:51 PM May 13 2015,16.7,24.1,0,0
8:51 AM May 14 2015,15.0,14.8,0,0
9:51 AM May 14 2015,17.2,9.3,0,0
10:51 AM May 14 2015,18.3,7.4,0,0
11:51 AM May 14 2015,18.9,0.0,0,0
12:51 PM May 14 2015,19.4,14.8,0,0
1:51 PM May 14 2015,21.1,14.8,0,0
2:51 PM May 14 2015,20.0,25.9,0,0
3:51 PM May 14 2015,20.6,27.8,0,0
4:51 PM May 14 2015,18.9,25.9,0,0
5:51 PM May 14 2015,17.8,22.2,0,0
6:51 PM May 14 2015,17.2,18.5,0,0
7:51 PM May 14 2015,15.0,11.1,0,0
8:51 AM May 15 2015,16.7,0.0,0,0
9:51 AM May 15 2015,17.8,5.6,0,0
10:51 AM May 15 2015,18.9,11.1,0,0
11:51 AM May 15 2015,20.0,14.8,0,0
